id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;2022-02-26;13219.66816667
SE;Sudeste/Centro-Oeste;2022-02-26;42180.65508333
N;Norte;2022-02-27;5315.54283333
NE;Nordeste;2022-02-27;10602.52770833
S;Sul;2022-02-27;11890.95883333
SE;Sudeste/Centro-Oeste;2022-02-27;38960.04645833
N;Norte;2022-02-28;5509.51937500
NE;Nordeste;2022-02-28;11267.40904167
S;Sul;2022-02-28;14121.62050000
SE;Sudeste/Centro-Oeste;2022-02-28;43195.03004167
N;Norte;2022-03-01;5265.72679167
NE;Nordeste;2022-03-01;11367.42150000
S;Sul;2022-03-01;13533.69116667
SE;Sudeste/Centro-Oeste;2022-03-01;43311.32020833
N;Norte;2022-03-02;5589.00695833
NE;Nordeste;2022-03-02;12111.47787500
S;Sul;2022-03-02;14360.92133333
SE;Sudeste/Centro-Oeste;2022-03-02;45868.84470833
N;Norte;2022-03-03;5948.00587500
NE;Nordeste;2022-03-03;12354.20945833
S;Sul;2022-03-03;14522.45575000
SE;Sudeste/Centro-Oeste;2022-03-03;46937.33695833
N;Norte;2022-03-04;5937.76458333
NE;Nordeste;2022-03-04;12018.06891667
S;Sul;2022-03-04;14725.69375000
SE;Sudeste/Centro-Oeste;2022-03-04;46491.40895833
N;Norte;2022-03-05;5621.62991667
NE;Nordeste;2022-03-05;11050.86450000
S;Sul;2022-03-05;13204.44545833
SE;Sudeste/Centro-Oeste;2022-03-05;42728.97783333
N;Norte;2022-03-06;5227.74033333
NE;Nordeste;2022-03-06;10176.37787500
S;Sul;2022-03-06;11716.23616667
SE;Sudeste/Centro-Oeste;2022-03-06;39689.82404167
N;Norte;2022-03-07;5650.39112500
NE;Nordeste;2022-03-07;11366.41412500
S;Sul;2022-03-07;14608.58329167
SE;Sudeste/Centro-Oeste;2022-03-07;46453.56129167
N;Norte;2022-03-08;5666.62962500
NE;Nordeste;2022-03-08;11811.33220833
S;Sul;2022-03-08;14834.67108333
SE;Sudeste/Centro-Oeste;2022-03-08;47636.05495833
N;Norte;2022-03-09;5749.57045833
NE;Nordeste;2022-03-09;12234.62116667
S;Sul;2022-03-09;14860.90666667
SE;Sudeste/Centro-Oeste;2022-03-09;47518.16400000
N;Norte;2022-03-10;5699.26075000
NE;Nordeste;2022-03-10;12356.26304167
S;Sul;2022-03-10;14877.01941667
SE;Sudeste/Centro-Oeste;2022-03-10;47494.65012500
N;Norte;2022-03-11;5688.62129167
