id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2024-03-09;7325.53325000
NE;Nordeste;2024-03-09;12988.39779167
S;Sul;2024-03-09;13057.38112500
SE;Sudeste/Centro-Oeste;2024-03-09;46587.56787500
N;Norte;2024-03-10;7158.46550000
NE;Nordeste;2024-03-10;12407.53704167
S;Sul;2024-03-10;11836.18370833
SE;Sudeste/Centro-Oeste;2024-03-10;43117.00454167
N;Norte;2024-03-11;7707.48550000
NE;Nordeste;2024-03-11;14099.24254167
S;Sul;2024-03-11;15121.07204167
SE;Sudeste/Centro-Oeste;2024-03-11;48900.86120833
N;Norte;2024-03-12;7916.26750000
NE;Nordeste;2024-03-12;14370.43425000
S;Sul;2024-03-12;15886.10250000
SE;Sudeste/Centro-Oeste;2024-03-12;49386.92804167
N;Norte;2024-03-13;7831.42500000
NE;Nordeste;2024-03-13;14179.17562500
S;Sul;2024-03-13;16660.05325000
SE;Sudeste/Centro-Oeste;2024-03-13;50090.29066667
N;Norte;2024-03-14;7819.92666667
NE;Nordeste;2024-03-14;13912.97341667
S;Sul;2024-03-14;17437.51900000
SE;Sudeste/Centro-Oeste;2024-03-14;51397.81879167
N;Norte;2024-03-15;7677.71745833
NE;Nordeste;2024-03-15;13538.79979167
S;Sul;2024-03-15;17452.36500000
SE;Sudeste/Centro-Oeste;2024-03-15;52690.84345833
N;Norte;2024-03-16;7131.56750000
NE;Nordeste;2024-03-16;13056.25929167
S;Sul;2024-03-16;14942.82937500
SE;Sudeste/Centro-Oeste;2024-03-16;49604.18095833
N;Norte;2024-03-17;6922.52654167
NE;Nordeste;2024-03-17;12511.28879167
S;Sul;2024-03-17;12563.37166667
SE;Sudeste/Centro-Oeste;2024-03-17;46388.94645833
N;Norte;2024-03-18;7417.14350000
NE;Nordeste;2024-03-18;14001.72695833
S;Sul;2024-03-18;15668.88620833
SE;Sudeste/Centro-Oeste;2024-03-18;52684.78775000
N;Norte;2024-03-19;7455.39295833
NE;Nordeste;2024-03-19;13746.05195833
S;Sul;2024-03-19;16591.51637500
SE;Sudeste/Centro-Oeste;2024-03-19;52933.50333333
N;Norte;2024-03-20;7521.59208333
NE;Nordeste;2024-03-20;14184.43950000
S;Sul;2024-03-20;16995.42804167
SE;Sudeste/Centro-Oeste;2024-03-20;52301.59275000
N;Norte;2024-03-21;7406.44370833
NE;Nordeste;2024-03-21;14096.10087500
S;Sul;2024-03-21;15510.21512500
SE;Sudeste/Centro-Oeste;2024-03-21;52295.17358333
N;Norte;2024-03-22;7336.89854167
NE;Nordeste;2024-03-22;14286.25262500
S;Sul;2024-03-22;14062.68783333
SE;Sudeste/Centro-Oeste;2024-03-22;48756.42983333
N;Norte;2024-03-23;7127.44087500
NE;Nordeste;2024-03-23;13257.80870833
S;Sul;2024-03-23;11920.63495833
SE;Sudeste/Centro-Oeste;2024-03-23;41761.76337500
N;Norte;2024-03-24;6706.92958333
NE;Nordeste;2024-03-24;12227.94887500
S;Sul;2024-03-24;10804.50741667
SE;Sudeste/Centro-Oeste;2024-03-24;37607.98262500
N;Norte;2024-03-25;7370.35958333
NE;Nordeste;2024-03-25;13473.91600000
S;Sul;2024-03-25;14373.43020833
SE;Sudeste/Centro-Oeste;2024-03-25;44739.10475000
