id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;2023-03-28;13524.93379230
SE;Sudeste/Centro-Oeste;2023-03-28;44452.33208333
N;Norte;2023-03-29;6814.45879167
NE;Nordeste;2023-03-29;11276.81333333
S;Sul;2023-03-29;14594.96024785
SE;Sudeste/Centro-Oeste;2023-03-29;45060.86208333
N;Norte;2023-03-30;6969.75158333
NE;Nordeste;2023-03-30;11084.23312500
S;Sul;2023-03-30;13918.11916604
SE;Sudeste/Centro-Oeste;2023-03-30;45196.59195833
N;Norte;2023-03-31;6850.75254167
NE;Nordeste;2023-03-31;11108.88491667
S;Sul;2023-03-31;13673.12379112
SE;Sudeste/Centro-Oeste;2023-03-31;44824.87375000
N;Norte;2023-04-01;6514.73704167
NE;Nordeste;2023-04-01;10696.84845833
S;Sul;2023-04-01;10956.58345833
SE;Sudeste/Centro-Oeste;2023-04-01;41039.73950000
N;Norte;2023-04-02;6283.17687500
NE;Nordeste;2023-04-02;10443.49987500
S;Sul;2023-04-02;9358.65379167
SE;Sudeste/Centro-Oeste;2023-04-02;36429.18225000
N;Norte;2023-04-03;6854.69920833
NE;Nordeste;2023-04-03;11615.06875000
S;Sul;2023-04-03;12602.67403564
SE;Sudeste/Centro-Oeste;2023-04-03;41672.72216667
N;Norte;2023-04-04;7004.58537500
NE;Nordeste;2023-04-04;11416.76725000
S;Sul;2023-04-04;13706.54725000
SE;Sudeste/Centro-Oeste;2023-04-04;43105.62975000
N;Norte;2023-04-05;6906.04325000
NE;Nordeste;2023-04-05;11376.16537500
S;Sul;2023-04-05;13746.79758333
SE;Sudeste/Centro-Oeste;2023-04-05;43310.07741667
N;Norte;2023-04-06;6695.79179167
NE;Nordeste;2023-04-06;11017.98383333
S;Sul;2023-04-06;13210.20754167
SE;Sudeste/Centro-Oeste;2023-04-06;42945.57816667
N;Norte;2023-04-07;6295.97870833
NE;Nordeste;2023-04-07;9836.23050000
S;Sul;2023-04-07;9500.56816667
SE;Sudeste/Centro-Oeste;2023-04-07;37055.72237500
N;Norte;2023-04-08;6532.57629167
NE;Nordeste;2023-04-08;10660.41495833
S;Sul;2023-04-08;9623.00529167
SE;Sudeste/Centro-Oeste;2023-04-08;36999.91995833
N;Norte;2023-04-09;6355.24370833
NE;Nordeste;2023-04-09;10205.53520833
S;Sul;2023-04-09;8783.51816667
SE;Sudeste/Centro-Oeste;2023-04-09;34416.42700000
N;Norte;2023-04-10;6684.44237500
NE;Nordeste;2023-04-10;11437.54083333
S;Sul;2023-04-10;12478.72033333
SE;Sudeste/Centro-Oeste;2023-04-10;39746.90583333
N;Norte;2023-04-11;6785.59150000
NE;Nordeste;2023-04-11;11450.04104167
S;Sul;2023-04-11;13367.18529167
SE;Sudeste/Centro-Oeste;2023-04-11;40625.62370833
N;Norte;2023-04-12;6885.75325000
NE;Nordeste;2023-04-12;11415.30637500
S;Sul;2023-04-12;13805.99016667
SE;Sudeste/Centro-Oeste;2023-04-12;41892.06312500
N;Norte;2023-04-13;6962.58083333
NE;Nordeste;2023-04-13;11733.51950000
S;Sul;2023-04-13;13762.31550000
SE;Sudeste/Centro-Oeste;2023-04-13;42499.96495833
N;Norte;2023-04-14;7010.97766667
NE;Nordeste;2023-04-14;11613.76487500
S;Sul;2023-04-14;13234.97687500
SE;Sudeste/Centro-Oeste;2023-04-14;42960.51029167
N;Norte;2023-04-15;6740.16033333
NE;Nordeste;2023-04-15;11217.83912500
S;Sul;2023-04-15;11277.52350000
SE;Sudeste/Centro-Oeste;2023-04-15;38933.07841667
N;Norte;2023-04-16;6481.53216667
NE;Nordeste;2023-04-16;10584.52479167
S;Sul;2023-04-16;9788.40867148
SE;Sudeste/Centro-Oeste;2023-04-16;35011.90741667
N;Norte;2023-04-17;6890.56054167
NE;Nordeste;2023-04-17;11822.61545833
S;Sul;2023-04-17;12420.99583333
SE;Sudeste/Centro-Oeste;2023-04-17;41384.78875000
N;Norte;2023-04-18;6934.08187500
NE;Nordeste;2023-04-18;12315.64091667
S;Sul;2023-04-18;12071.93720833
SE;Sudeste/Centro-Oeste;2023-04-18;43272.02362500
N;Norte;2023-04-19;7047.38304167
NE;Nordeste;2023-04-19;12463.03775000
S;Sul;2023-04-19;11500.86658333
SE;Sudeste/Centro-Oeste;2023-04-19;42513.75929167
N;Norte;2023-04-20;7224.00829167
NE;Nordeste;2023-04-20;12589.61183333
S;Sul;2023-04-20;11225.17291667
SE;Sudeste/Centro-Oeste;2023-04-20;40174.59904167
N;Norte;2023-04-21;6657.61408333
NE;Nordeste;2023-04-21;10980.80187500
S;Sul;2023-04-21;9641.26204167
SE;Sudeste/Centro-Oeste;2023-04-21;34720.92929167
N;Norte;2023-04-22;6548.75562500
NE;Nordeste;2023-04-22;10795.69075000
S;Sul;2023-04-22;9310.24220833
SE;Sudeste/Centro-Oeste;2023-04-22;34890.26933333
N;Norte;2023-04-23;6393.03954167
NE;Nordeste;2023-04-23;10167.51958333
S;Sul;2023-04-23;8646.54920833
SE;Sudeste/Centro-Oeste;2023-04-23;32768.67537500
N;Norte;2023-04-24;7018.01904167
NE;Nordeste;2023-04-24;11375.17266667
S;Sul;2023-04-24;11822.70287500
SE;Sudeste/Centro-Oeste;2023-04-24;38359.18400000
N;Norte;2023-04-25;6983.43312500
NE;Nordeste;2023-04-25;11753.76845833
S;Sul;2023-04-25;12557.10004167
SE;Sudeste/Centro-Oeste;2023-04-25;39835.50970833
N;Norte;2023-04-26;6949.30725000
NE;Nordeste;2023-04-26;11822.07433333
S;Sul;2023-04-26;12626.73850000
SE;Sudeste/Centro-Oeste;2023-04-26;41222.72420833
N;Norte;2023-04-27;7089.54987500
NE;Nordeste;2023-04-27;11955.68920833
S;Sul;2023-04-27;12578.76833333
SE;Sudeste/Centro-Oeste;2023-04-27;42256.69987500
N;Norte;2023-04-28;7248.20816667
NE;Nordeste;2023-04-28;11955.01825000
S;Sul;2023-04-28;12246.69958333
SE;Sudeste/Centro-Oeste;2023-04-28;41438.89483333
N;Norte;2023-04-29;7139.14333333
NE;Nordeste;2023-04-29;11867.85495833
S;Sul;2023-04-29;11011.57091667
SE;Sudeste/Centro-Oeste;2023-04-29;38139.92200000
N;Norte;2023-04-30;6830.51066667
NE;Nordeste;2023-04-30;11066.52600000
S;Sul;2023-04-30;9634.79570833
SE;Sudeste/Centro-Oeste;2023-04-30;34584.62708333
N;Norte;2023-05-01;6571.35212500
NE;Nordeste;2023-05-01;10693.64458333
S;Sul;2023-05-01;10127.39175000
SE;Sudeste/Centro-Oeste;2023-05-01;34835.05579167
N;Norte;2023-05-02;7120.41258333
NE;Nordeste;2023-05-02;12138.58654167
S;Sul;2023-05-02;13090.16404167
